establishmentname,street,town,postcode,longitude,latitude
University of Northumbria At Newcastle,Ellison Building,Newcastle-upon-Tyne,NE1 8ST,-1.60773801901175,54.9757373430211
The Nottingham Trent University,Burton Street,Nottingham,NG1 4BU,-1.15231745,52.9565193
University of Nottingham,University Park,Nottingham,NG7 2RD,-1.1942117,52.9385348
University of Northampton,Park Campus,Northampton,NN2 7AL,-0.883724071287247,52.272695497646
Norwich University of the Arts,Francis House,Norwich,NR2 4SN,1.29693971007615,52.6303470215112
The Royal Veterinary College,Royal College Street,London,NW1 0TU,-0.133523891007024,51.5368509056928
London Business School,Sussex Place,London,NW1 4SA,-0.160143381758687,51.5252526475584
Royal Academy of Music,Marylebone Road,London,NW1 5HT,-0.151699854910457,51.5234971078978
Central School of Speech and Drama,64 Eton Avenue,London,NW3 3HY,-0.174171081394825,51.5443264867387
University of Oxford,University Offices,Oxford,OX1 2JD,-1.26201017482883,51.7580379721642
Oxford Brookes University,Headington Campus,Oxford,OX3 0BP,-1.22320050719531,51.7543803057987
University of Plymouth,Drake Circus,Plymouth,PL4 8AA,-4.1389329174434,50.3746201428673
College of St Mark & St John,Derriford Road,Plymouth,PL6 8BH,-4.11075785972969,50.4208655099159
University of Portsmouth,University House,Portsmouth,PO1 2UP,-1.09362847202234,50.7951874528222
University of Chichester,Bishop Otter College,Chichester,PO19 6PE,-0.774018989624122,50.8451001923749
University of Central Lancashire,Adelphi Building,Preston,PR1 2HE,-2.70860254500619,53.7610726427631
University of Reading,Whiteknights House,Reading,RG6 6UR,-0.947113596423232,51.4405491957956
Sheffield Hallam University,City Campus,Sheffield,S1 1WB,-1.46525541929312,53.3791941752224
University of Sheffield,Western Bank,Sheffield,S10 2TN,-1.48729038289892,53.382744200046
London South Bank University,103 Borough Road,London,SE1 0AA,-0.103136117113953,51.4990414862395
"King's College London, University of London",James Clark Maxwell Building,London,SE1 8WA,-0.112565869735389,51.5049186712825
Trinity Laban,Laban,Deptford,SE8 3DZ,-0.020414279317291,51.4790533607648
University of Greenwich,Maritime Greenwich Campus,London,SE10 9LS,-0.00753234941886463,51.4820171993254
"Goldsmiths, University of London",New Cross,London,SE14 6NW,-0.0354011556892772,51.474143635441
Southampton Solent University,East Park Terrace,Southampton,SO14 0YN,-1.40032646585022,50.9082696946361
University of Southampton,Highfield,Southampton,SO17 1BJ,-1.398014357967,50.934470070053
University of Winchester,Sparkford Road,Winchester,SO22 4NR,-1.32950909425021,51.0607086998207
University of Sunderland,"4th Floor, Edinburgh Building",Sunderland,SR1 3SD,-1.3908624395909,54.9035830452149
Staffordshire University,Stafford Campus,Stafford,ST18 0YG,-2.07588461999159,52.8133682743538
University of Keele,,Keele,ST5 5BG,-2.27129995814671,53.0024444619381
Roehampton University,Roehampton Lane,London,SW15 5PJ,-0.246940447649421,51.4551599570323
St George's Hospital Medical School,Cranmer Terrace,London,SW17 0RE,-0.175080695828731,51.4269845933175
"Imperial College of Science, Technology and Medicine",Exhibition Road,London,SW7 2AZ,-0.175754640167062,51.498882513762
Royal College of Music,Prince Consort Road,London,SW7 2BS,-0.177110447556647,51.4996835362945
Royal College of Art,Kensington Gore,London,SW7 2EU,-0.178909621168375,51.5013143664203
Institute of Cancer Research,Royal Cancer Hospital,London,SW3 6JB,-0.173959752146055,51.4902678368661
Harper Adams University,,Newport,TF10 8NB,-2.42555786217445,52.7798956065573
Teesside University,Borough Road,Middlesbrough,TS1 3BA,-1.23469418125281,54.5720763976514
"St Mary's University, Twickenham",Waldegrave Road,Twickenham,TW1 4SX,-0.334589033153303,51.4356768860511
Royal Holloway and Bedford New College,Egham Hill,Egham,TW20 0EX,-0.5647014,51.4248935
Brunel University,Kingston Lane,Uxbridge,UB8 3PH,-0.4721031,51.5329051
University of Westminster,309 Regent Street,London,W1W 6XH,-0.141079011294172,51.5205865613639
The Royal College of Nursing,20 Cavendish Square,London,W1G 0RN,-0.145920547272626,51.5160140718095
University of the Arts London,272 High Holborn,London,WC1V 7EY,-0.116388302041574,51.5177646748513
University of West London,Room Tc 203,London,W5 5RF,-0.303013483496175,51.5072595025917
University College London,Gower Street,London,WC1E 6BT,-0.134092540852439,51.5245089519076
London School of Hygiene & Tropical Medicine,Keppel Street,London,WC1E 7HT,-0.130320241699083,51.5208590207168
University of London,Senate House,London,WC1E 7HU,-0.128478988609604,51.5210551395786
Birkbeck College,Malet Street,London,WC1E 7HX,-0.130253448508541,51.5218474336455
Institute of Education,20 Bedford Way,London,WC1H 0AL,-0.1282037,51.5231607
School of Oriental and African Studies,Thornhaugh Street,London,WC1H 0XG,-0.128350511681728,51.5220688540503
Conservatoire for Dance and Drama,1 - 7 Woburn Walk,London,WC1H 0JJ,-0.129367060170345,51.5267490715134
London School of Economics and Political Science,Houghton Street,London,WC2A 2AE,-0.116737335852889,51.5139740795514
University of Worcester,Henwick Grove,Worcester,WR2 6AJ,-2.2421585988853,52.1980565318052
University of Wolverhampton,Wulfruna Street,Wolverhampton,WV1 1LY,-2.12732333868273,52.5881894238843
University of York,Heslington,York,YO10 5DD,-1.05097267409311,53.9477727324311
York St John University,Lord Mayor's Walk,York,YO31 7EX,-1.08096540928201,53.9656822498226
Courtauld Institute of Art,Somerset House,London,WC2R 0RN,-0.117442,51.5116948
University of Cumbria,Paternoster Row,Carlisle,CA3 9AY,-2.93178107103917,54.9062895656487
Heythrop College,Kensington Square,London,W8 5HQ,-0.190907990262614,51.4998826937867
Guildhall School of Music and Drama,Silk Street,London,EC2Y 8DT,-0.0923835531711647,51.5194755951734
Liverpool Institute of Performing Arts,Mount Street,Liverpool,L1 9HF,-2.97183468292158,53.3993459279937
University of Buckingham,Hunter Street,Buckingham,MK18 1EG,-0.991838719584744,51.9959983216758
University of Suffolk,Waterfront Building,Ipswich,IP4 1QJ,1.16284386449043,52.0523763190193
